0,ID,UPLINK_MAX_THRP,ROAM_ALLOW_DIALUP,APN,SYSTEM_MODE,SIM_STATUS,SERVICE_STATUS,ROAM_STATUS,UPSTREAM_MAX_RATE,DEVICE_ID,BANDWIDTH,TAC,PROTOCOL,SIGNAL_QUALITY,SERVICE_DOMAIN,RSRP,SINR,RSSI,RSRQ,SYS_SUB_MODE,TIMESTAMP,OperatorName,PLMN,NetworkMode,ConnectedBand,DLFrequency,ULFrequency,CellID,PCI,BEST_CHANNEL,CREATED_DATE,Anomaly,Reason,Severity
1,1125900000000000.0,400961Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT23B28013757,DL:20000 UL:20000,41921.0,,41,CS_PS_Capable,-100dBm,6dB,-81dBm,-11.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1.0,21600.0,19700.0,103040279.0,230.0,,22-06-2026 13:33,No,Transition count within threshold,Low
2,1125900000000000.0,81937Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S23C29004550,DL:20000 UL:20000,41320.0,,35,CS_PS_Capable,-106dBm,13dB,-77dBm,-7.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,41.0,26250.0,26250.0,110903605.0,6.0,,22-06-2026 13:33,No,Transition count within threshold,Low
3,1125900000000000.0,298931Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT22C08004062,DL:20000 UL:20000,41926.0,,53,CS_PS_Capable,-88dBm,-2dB,-70dBm,-10.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1.0,21600.0,19700.0,,,,22-06-2026 13:33,No,Transition count within threshold,Low
4,1125900000000000.0,144948Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT23B28000678,DL:20000 UL:20000,31901.0,,61,CS_PS_Capable,-80dBm,12dB,-64dBm,-8.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3.0,18150.0,17200.0,110517516.0,16.0,,22-06-2026 13:33,No,Transition count within threshold,Low
5,1125900000000000.0,239079Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT24202005150,DL:20000 UL:20000,45021.0,,65,CS_PS_Capable,-76dBm,-11dB,-54dBm,-14.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3.0,18150.0,17200.0,111785740.0,81.0,,22-06-2026 13:33,No,Transition count within threshold,Low
6,1125900000000000.0,915185Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT25925004127,DL:20000 UL:20000,31301.0,,72,CS_PS_Capable,-69dBm,18dB,-45dBm,-4.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3.0,18150.0,17200.0,110362892.0,113.0,,22-06-2026 13:33,No,Transition count within threshold,Low
7,1125900000000000.0,123747Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-E5586-326-2TS9K24C04015132,DL:20000 UL:20000,21305.0,,57,CS_PS_Capable,-84dBm,5dB,-63dBm,-12.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3.0,18150.0,17200.0,110693644.0,230.0,,22-06-2026 13:33,No,Transition count within threshold,Low
8,1125900000000000.0,190733Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24113010557,DL:20000 UL:20000,41901.0,,56,CS_PS_Capable,-85dBm,18dB,-57dBm,-7.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,41.0,26050.0,26050.0,110499113.0,111.0,,22-06-2026 13:33,No,Transition count within threshold,Low
9,1125900000000000.0,673246Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-E5586-326-2TS9K25607006510,DL:20000 UL:20000,41301.0,,42,CS_PS_Capable,-99dBm,9dB,-72dBm,-6.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1.0,21600.0,19700.0,112082197.0,28.0,,22-06-2026 13:33,No,Transition count within threshold,Low
10,1125900000000000.0,32005Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT24208000779,DL:20000 UL:20000,31303.0,,61,CS_PS_Capable,-80dBm,10dB,-51dBm,-9.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1.0,21600.0,19700.0,110509590.0,428.0,,22-06-2026 13:33,No,Transition count within threshold,Low
11,1125900000000000.0,68854Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24C26000510,DL:20000 UL:20000,41325.0,,34,CS_PS_Capable,-107dBm,-6dB,-72dBm,-14.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1.0,21600.0,19700.0,110912789.0,387.0,,22-06-2026 13:33,No,Transition count within threshold,Low
12,1125900000000000.0,2972272Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-E5586-326-2TS9K24C04012078,DL:20000 UL:20000,11301.0,,62,CS_PS_Capable,-79dBm,8dB,-50dBm,-7.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1.0,21600.0,19700.0,112494869.0,31.0,,22-06-2026 13:33,No,Transition count within threshold,Low
13,1125900000000000.0,113326Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT23B28004105,DL:20000 UL:20000,21301.0,,49,CS_PS_Capable,-92dBm,-2dB,-57dBm,-15.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1.0,21600.0,19700.0,112382998.0,89.0,,22-06-2026 13:33,No,Transition count within threshold,Low
14,1125900000000000.0,169217Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT24202006610,DL:15000 UL:15000,45023.0,,45,CS_PS_Capable,-96dBm,-4dB,-64dBm,-13.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1.0,21625.0,19725.0,110205462.0,36.0,,22-06-2026 13:33,No,Transition count within threshold,Low
15,1125900000000000.0,178470Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT22C08004015,DL:20000 UL:20000,45203.0,,36,CS_PS_Capable,-105dBm,6dB,-90dBm,-7.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3.0,18150.0,17200.0,,,,22-06-2026 13:33,No,Transition count within threshold,Low
16,1125900000000000.0,736962Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT25925004732,DL:20000 UL:20000,41922.0,,41,CS_PS_Capable,-100dBm,7dB,-82dBm,-9.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1.0,21600.0,19700.0,103066646.0,214.0,,22-06-2026 13:33,No,Transition count within threshold,Low
17,1125900000000000.0,187777Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT25925004038,DL:20000 UL:20000,31901.0,,44,CS_PS_Capable,-97dBm,-5dB,-63dBm,-13.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1.0,21600.0,19700.0,110675221.0,391.0,,22-06-2026 13:33,No,Transition count within threshold,Low
18,1125900000000000.0,211995Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT24208000540,DL:20000 UL:20000,45203.0,,46,CS_PS_Capable,-95dBm,4dB,-66dBm,-8.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1.0,21600.0,19700.0,108622873.0,314.0,,22-06-2026 13:33,No,Transition count within threshold,Low
19,1125900000000000.0,188491Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT24202004005,DL:20000 UL:20000,41305.0,,48,CS_PS_Capable,-93dBm,6dB,-65dBm,-8.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1.0,21600.0,19700.0,110494998.0,291.0,,22-06-2026 13:33,No,Transition count within threshold,Low
20,1125900000000000.0,1572Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-E5586-326-2TS9K24C04007144,DL:20000 UL:20000,45029.0,,40,CS_PS_Capable,-101dBm,-5dB,-71dBm,-9.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1.0,21600.0,19700.0,111703574.0,31.0,,22-06-2026 13:33,No,Transition count within threshold,Low
21,1125900000000000.0,1220495Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24829002018,DL:20000 UL:20000,45021.0,,58,CS_PS_Capable,-83dBm,13dB,-68dBm,-6.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3.0,18150.0,17200.0,111592461.0,302.0,,22-06-2026 13:33,No,Transition count within threshold,Low
22,1125900000000000.0,182973Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24113004540,DL:20000 UL:20000,41926.0,,47,CS_PS_Capable,-94dBm,18dB,-78dBm,-8.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1.0,21600.0,19700.0,103321366.0,98.0,,22-06-2026 13:33,No,Transition count within threshold,Low
23,1125900000000000.0,76791Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT25925005557,DL:20000 UL:20000,41922.0,,42,CS_PS_Capable,-99dBm,9dB,-82dBm,-8.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1.0,21600.0,19700.0,103070999.0,352.0,,22-06-2026 13:33,No,Transition count within threshold,Low
24,1125900000000000.0,845953Byte/s,1,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT23B28000741,DL:20000 UL:20000,41305.0,,64,CS_PS_Capable,-77dBm,-5dB,-42dBm,-14.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1.0,21600.0,19700.0,110525462.0,135.0,,22-06-2026 13:33,No,Transition count within threshold,Low
25,1125900000000000.0,632703Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT24208000441,DL:20000 UL:20000,45203.0,,46,CS_PS_Capable,-95dBm,4dB,-64dBm,-10.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1.0,21600.0,19700.0,112033815.0,362.0,,22-06-2026 13:33,No,Transition count within threshold,Low
26,1125900000000000.0,111324Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-E5586-326-2TS9K24C04004024,DL:20000 UL:20000,31300.0,,41,CS_PS_Capable,-100dBm,9dB,-73dBm,-6.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,41.0,26050.0,26050.0,110677290.0,118.0,,22-06-2026 13:33,No,Transition count within threshold,Low
27,1125900000000000.0,66428Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-E5586-326-2TS9K24C04003644,DL:20000 UL:20000,41322.0,,46,CS_PS_Capable,-95dBm,22dB,-66dBm,-8.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,41.0,26050.0,26050.0,110854443.0,332.0,,22-06-2026 13:33,No,Transition count within threshold,Low
28,1125900000000000.0,824432Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT25925005466,DL:20000 UL:20000,41301.0,,78,CS_PS_Capable,-63dBm,14dB,-47dBm,-8.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3.0,18150.0,17200.0,110355725.0,101.0,,22-06-2026 13:33,No,Transition count within threshold,Low
29,1125900000000000.0,955477Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24904004558,DL:20000 UL:20000,31908.0,,43,CS_PS_Capable,-98dBm,4dB,-67dBm,-9.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,41.0,26050.0,26050.0,110661929.0,343.0,,22-06-2026 13:33,No,Transition count within threshold,Low
30,1125900000000000.0,133997Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24829001505,DL:20000 UL:20000,45021.0,,41,CS_PS_Capable,-100dBm,4dB,-62dBm,-17.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,41.0,26600.0,26600.0,111788340.0,102.0,,22-06-2026 13:33,No,Transition count within threshold,Low
31,1125900000000000.0,177445Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24829005978,DL:20000 UL:20000,41321.0,,64,CS_PS_Capable,-77dBm,5dB,-48dBm,-8.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3.0,18150.0,17200.0,110947651.0,274.0,,22-06-2026 13:33,No,Transition count within threshold,Low
32,1125900000000000.0,431941Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24113005303,DL:20000 UL:20000,31301.0,,61,CS_PS_Capable,-80dBm,22dB,-52dBm,-8.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1.0,21600.0,19700.0,110448661.0,91.0,,22-06-2026 13:33,No,Transition count within threshold,Low
33,1125900000000000.0,168901Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24127012027,DL:20000 UL:20000,41922.0,,40,CS_PS_Capable,-101dBm,0dB,-79dBm,-13.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3.0,18150.0,17200.0,103044619.0,432.0,,22-06-2026 13:33,No,Transition count within threshold,Low
34,1125900000000000.0,111153Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT25925001341,DL:20000 UL:20000,45025.0,,46,CS_PS_Capable,-95dBm,5dB,-76dBm,-11.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3.0,18150.0,17200.0,110178059.0,345.0,,22-06-2026 13:33,No,Transition count within threshold,Low
35,1125900000000000.0,444567Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24829006024,DL:20000 UL:20000,35202.0,,44,CS_PS_Capable,-97dBm,-3dB,-76dBm,-13.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1.0,21600.0,19700.0,108601673.0,249.0,,22-06-2026 13:33,No,Transition count within threshold,Low
36,1125900000000000.0,57821Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S25213002224,DL:20000 UL:20000,45213.0,,61,CS_PS_Capable,-80dBm,16dB,-47dBm,-12.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3.0,18150.0,17200.0,108552972.0,31.0,,22-06-2026 13:33,No,Transition count within threshold,Low
37,1125900000000000.0,247 KB/s,0,EGO,LTE,Valid,AvailableService,Normal,11 MB/s,00E0FC-E5783-230b-4HJ7S25908002850,DL:20000 UL:20000,31901.0,,41,CS_PS_Capable,-100dBm,0dB,-65dBm,-13.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1.0,21600.0,19700.0,112601365.0,88.0,,22-06-2026 13:33,No,Transition count within threshold,Low
38,1125900000000000.0,301733Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT23B28003805,DL:20000 UL:20000,31908.0,,54,CS_PS_Capable,-87dBm,2dB,-58dBm,-9.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3.0,18150.0,17200.0,110399501.0,179.0,,22-06-2026 13:33,No,Transition count within threshold,Low
39,1125900000000000.0,107571Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24127005740,DL:20000 UL:20000,31301.0,,61,CS_PS_Capable,-80dBm,27dB,-53dBm,-6.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,41.0,26250.0,26250.0,110657332.0,13.0,,22-06-2026 13:33,No,Transition count within threshold,Low
40,1125900000000000.0,138562Byte/s,0,EGO,WCDMA,Valid,AvailableService,Normal,14400000,00E0FC-B320-323-BPG7S24127007705,,,,66,CS_PS_Capable,,,-53dBm,,HSPA,22-06-2026 13:33,Zain Iraq,41820,WCDMA,,,,62901951.0,,,22-06-2026 13:33,No,Transition count within threshold,Low
41,1125900000000000.0,93407Byte/s,0,EGO,WCDMA,Valid,AvailableService,Normal,14400000,00E0FC-B320-323-BPG7S24127013727,,,,44,CS_PS_Capable,,,-52dBm,,HSPA,22-06-2026 13:33,Zain Iraq,41820,WCDMA,,,,62857164.0,,,22-06-2026 13:33,No,Transition count within threshold,Low
42,1125900000000000.0,118692Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT23B28015724,DL:20000 UL:20000,31303.0,,74,CS_PS_Capable,-67dBm,9dB,-50dBm,-8.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3.0,18150.0,17200.0,110585100.0,214.0,,22-06-2026 13:33,No,Transition count within threshold,Low
43,1125900000000000.0,47052Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24204000479,DL:20000 UL:20000,31901.0,,53,CS_PS_Capable,-88dBm,14dB,-58dBm,-8.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1.0,21600.0,19700.0,110501653.0,78.0,,22-06-2026 13:33,No,Transition count within threshold,Low
44,1125900000000000.0,211386Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT23B28014962,DL:20000 UL:20000,41922.0,,65,CS_PS_Capable,-76dBm,4dB,-57dBm,-10.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3.0,18150.0,17200.0,103044620.0,434.0,,22-06-2026 13:33,No,Transition count within threshold,Low
45,1125900000000000.0,126162Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24127012405,DL:20000 UL:20000,41324.0,,43,CS_PS_Capable,-98dBm,1dB,-64dBm,-12.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3.0,18150.0,17200.0,110888973.0,8.0,,22-06-2026 13:33,No,Transition count within threshold,Low
46,1125900000000000.0,42139Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S25213001262,DL:20000 UL:20000,45060.0,,36,CS_PS_Capable,-106dBm,6dB,-73dBm,-9.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,41.0,26250.0,26250.0,108948258.0,4.0,,22-06-2026 13:33,No,Transition count within threshold,Low
47,1125900000000000.0,2583062Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24127007950,DL:20000 UL:20000,31901.0,,69,CS_PS_Capable,-72dBm,23dB,-45dBm,-7.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1.0,21600.0,19700.0,110643479.0,474.0,,22-06-2026 13:33,No,Transition count within threshold,Low
48,1125900000000000.0,1535501Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT23B28002503,DL:20000 UL:20000,45203.0,,80,CS_PS_Capable,-61dBm,8dB,-44dBm,-9.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3.0,18150.0,17200.0,108553996.0,242.0,,22-06-2026 13:33,No,Transition count within threshold,Low
49,1125900000000000.0,85353Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S25213007105,DL:20000 UL:20000,45062.0,,40,CS_PS_Capable,-101dBm,-4dB,-70dBm,-10.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,41.0,26050.0,26050.0,108871723.0,228.0,,22-06-2026 13:33,No,Transition count within threshold,Low
