0,ID,UPLINK_MAX_THRP,ROAM_ALLOW_DIALUP,APN,SYSTEM_MODE,SIM_STATUS,SERVICE_STATUS,ROAM_STATUS,UPSTREAM_MAX_RATE,DEVICE_ID,BANDWIDTH,TAC,PROTOCOL,SIGNAL_QUALITY,SERVICE_DOMAIN,RSRP,SINR,RSSI,RSRQ,SYS_SUB_MODE,TIMESTAMP,OperatorName,PLMN,NetworkMode,ConnectedBand,DLFrequency,ULFrequency,CellID,PCI,BEST_CHANNEL,CREATED_DATE,Anomaly,Reason,Severity
50,1125900000000000.0,1945322Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24113006338,DL:20000 UL:20000,31300.0,,58,CS_PS_Capable,-83dBm,-12dB,-59dBm,-15.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3.0,18150.0,17200.0,112380940.0,139.0,,22-06-2026 13:33,No,Transition count within threshold,Low
51,1125900000000000.0,174524Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S25219002432,DL:20000 UL:20000,41300.0,,48,CS_PS_Capable,-93dBm,11dB,-62dBm,-8.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,41.0,26250.0,26250.0,110394676.0,285.0,,22-06-2026 13:33,No,Transition count within threshold,Low
52,1125900000000000.0,249131Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT23B28017550,DL:20000 UL:20000,45063.0,,50,CS_PS_Capable,-91dBm,0dB,-57dBm,-12.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3.0,18150.0,17200.0,109016845.0,481.0,,22-06-2026 13:33,No,Transition count within threshold,Low
53,1125900000000000.0,0Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24C24000085,DL:20000 UL:20000,45027.0,,50,CS_PS_Capable,-89dBm,3dB,-60dBm,-8.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,41.0,26600.0,26600.0,112323125.0,22.0,,22-06-2026 13:33,No,Transition count within threshold,Low
54,1125900000000000.0,224590Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT23B28015999,DL:20000 UL:20000,31303.0,,64,CS_PS_Capable,-77dBm,-4dB,-56dBm,-10.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3.0,18150.0,17200.0,110362123.0,218.0,,22-06-2026 13:33,No,Transition count within threshold,Low
55,1125900000000000.0,17601Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24204006327,DL:20000 UL:20000,51924.0,,44,CS_PS_Capable,-97dBm,0dB,-76dBm,-12.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3.0,18150.0,17200.0,103349516.0,412.0,,22-06-2026 13:33,No,Transition count within threshold,Low
56,1125900000000000.0,134030Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT24202006638,DL:20000 UL:20000,45025.0,,71,CS_PS_Capable,-70dBm,5dB,-55dBm,-8.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3.0,18150.0,17200.0,110214923.0,162.0,,22-06-2026 13:33,No,Transition count within threshold,Low
57,1125900000000000.0,0Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT25925004262,DL:20000 UL:20000,0.0,,31,CS_PS_Capable,-110dBm,-11dB,-71dBm,-19.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,0.0,18150.0,17200.0,110364940.0,0.0,,22-06-2026 13:33,No,Transition count within threshold,Low
58,1125900000000000.0,667336Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT23B28018579,DL:20000 UL:20000,45021.0,,43,CS_PS_Capable,-98dBm,5dB,-67dBm,-11.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1.0,21600.0,19700.0,111481879.0,178.0,,22-06-2026 13:33,No,Transition count within threshold,Low
59,1125900000000000.0,190654Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-E5586-326-2TS9K25607003405,DL:20000 UL:20000,41321.0,,41,CS_PS_Capable,-101dBm,9dB,-69dBm,-7.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1.0,21600.0,19700.0,112001046.0,484.0,,22-06-2026 13:33,No,Transition count within threshold,Low
60,1125900000000000.0,152890Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24C24002144,DL:20000 UL:20000,41922.0,,56,CS_PS_Capable,-85dBm,20dB,-69dBm,-6.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1.0,21600.0,19700.0,104274967.0,107.0,,22-06-2026 13:33,No,Transition count within threshold,Low
61,1125900000000000.0,816 KB/s,0,EGO,LTE,Valid,AvailableService,Normal,11 MB/s,00E0FC-B535-235a-64YUT26210007324,DL:20000 UL:20000,41301.0,,59,CS_PS_Capable,-82dBm,17dB,-57dBm,-5.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1.0,21600.0,19700.0,110477335.0,397.0,,22-06-2026 13:33,No,Transition count within threshold,Low
62,1125900000000000.0,412Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT23B28003858,DL:15000 UL:15000,41922.0,,48,CS_PS_Capable,-93dBm,13dB,-77dBm,-8.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1.0,21625.0,19725.0,103080725.0,57.0,,22-06-2026 13:33,No,Transition count within threshold,Low
63,1125900000000000.0,18947Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT25925005132,DL:20000 UL:20000,45212.0,,46,CS_PS_Capable,-95dBm,7dB,-65dBm,-10.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3.0,18150.0,17200.0,109958669.0,333.0,,22-06-2026 13:33,No,Transition count within threshold,Low
64,1125900000000000.0,62875Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24204008599,DL:20000 UL:20000,11300.0,,47,CS_PS_Capable,-94dBm,14dB,-67dBm,-6.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1.0,21600.0,19700.0,110403605.0,469.0,,22-06-2026 13:33,No,Transition count within threshold,Low
65,1125900000000000.0,451Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24C26002144,DL:20000 UL:20000,51924.0,,52,CS_PS_Capable,-89dBm,7dB,-72dBm,-7.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1.0,21600.0,19700.0,103349525.0,411.0,,22-06-2026 13:33,No,Transition count within threshold,Low
66,1125900000000000.0,148414Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-E5586-326-2TS9K24C04009344,DL:20000 UL:20000,41322.0,,31,CS_PS_Capable,-110dBm,-2dB,-73dBm,-15.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3.0,18150.0,17200.0,110854412.0,331.0,,22-06-2026 13:33,No,Transition count within threshold,Low
67,1125900000000000.0,257279Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT23B28003724,DL:20000 UL:20000,31303.0,,64,CS_PS_Capable,-77dBm,13dB,-62dBm,-6.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3.0,18150.0,17200.0,110585099.0,213.0,,22-06-2026 13:33,No,Transition count within threshold,Low
68,1125900000000000.0,178636Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24204009410,DL:20000 UL:20000,21301.0,,61,CS_PS_Capable,-80dBm,2dB,-50dBm,-9.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1.0,21600.0,19700.0,112088597.0,103.0,,22-06-2026 13:33,No,Transition count within threshold,Low
69,1125900000000000.0,350197Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24127003144,DL:20000 UL:20000,41324.0,,44,CS_PS_Capable,-97dBm,17dB,-67dBm,-9.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,41.0,26050.0,26050.0,110878249.0,6.0,,22-06-2026 13:33,No,Transition count within threshold,Low
70,1125900000000000.0,111206Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24113004218,DL:20000 UL:20000,41321.0,,40,CS_PS_Capable,-99dBm,-1dB,-65dBm,-14.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1.0,21600.0,19700.0,110907413.0,187.0,,22-06-2026 13:33,No,Transition count within threshold,Low
71,1125900000000000.0,221679Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S23C29008736,DL:20000 UL:20000,31300.0,,64,CS_PS_Capable,-77dBm,15dB,-49dBm,-7.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,41.0,26050.0,26050.0,111829290.0,36.0,,22-06-2026 13:33,No,Transition count within threshold,Low
72,1125900000000000.0,136869Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24127004705,DL:20000 UL:20000,21305.0,,48,CS_PS_Capable,-93dBm,22dB,-65dBm,-5.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,41.0,26250.0,26250.0,110404915.0,234.0,,22-06-2026 13:33,No,Transition count within threshold,Low
73,1125900000000000.0,106951Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT22C08007918,DL:20000 UL:20000,21901.0,,49,CS_PS_Capable,-92dBm,12dB,-73dBm,-10.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3.0,18150.0,17200.0,,,,22-06-2026 13:33,No,Transition count within threshold,Low
74,1125900000000000.0,81384Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT23B28008527,DL:20000 UL:20000,45212.0,,52,CS_PS_Capable,-89dBm,14dB,-69dBm,-12.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3.0,18150.0,17200.0,108569357.0,258.0,,22-06-2026 13:33,No,Transition count within threshold,Low
75,1125900000000000.0,74743Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-E5586-326-2TS9K25607002441,DL:20000 UL:20000,41901.0,,58,CS_PS_Capable,-85dBm,-2dB,-50dBm,-14.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,41.0,26250.0,26250.0,110498869.0,102.0,,22-06-2026 13:33,No,Transition count within threshold,Low
76,1125900000000000.0,199947Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24113000475,DL:20000 UL:20000,41324.0,,51,CS_PS_Capable,-90dBm,25dB,-62dBm,-7.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,41.0,26250.0,26250.0,110906163.0,75.0,,22-06-2026 13:33,No,Transition count within threshold,Low
77,1125900000000000.0,159432Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24113011341,DL:20000 UL:20000,45204.0,,61,CS_PS_Capable,-80dBm,0dB,-52dBm,-10.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3.0,18150.0,17200.0,108603148.0,249.0,,22-06-2026 13:33,No,Transition count within threshold,Low
78,1125900000000000.0,146749Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT23B28005940,DL:20000 UL:20000,45029.0,,51,CS_PS_Capable,-90dBm,-2dB,-70dBm,-13.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3.0,18150.0,17200.0,110170893.0,282.0,,22-06-2026 13:33,No,Transition count within threshold,Low
79,1125900000000000.0,108053Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT24208000010,DL:20000 UL:20000,45212.0,,37,CS_PS_Capable,-104dBm,1dB,-86dBm,-10.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3.0,18150.0,17200.0,108569355.0,259.0,,22-06-2026 13:33,No,Transition count within threshold,Low
80,1125900000000000.0,178755Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT24202006607,DL:20000 UL:20000,45023.0,,71,CS_PS_Capable,-70dBm,4dB,-53dBm,-9.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3.0,18150.0,17200.0,110826510.0,51.0,,22-06-2026 13:33,No,Transition count within threshold,Low
81,1125900000000000.0,46069Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24204006144,DL:20000 UL:20000,21300.0,,40,CS_PS_Capable,-101dBm,12dB,-73dBm,-6.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,41.0,26250.0,26250.0,111920691.0,287.0,,22-06-2026 13:33,No,Transition count within threshold,Low
82,1125900000000000.0,93602Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-E5586-326-2TS9K24C04002818,DL:20000 UL:20000,31901.0,,33,CS_PS_Capable,-109dBm,-4dB,-74dBm,-13.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1.0,21600.0,19700.0,110643991.0,335.0,,22-06-2026 13:33,No,Transition count within threshold,Low
83,1125900000000000.0,340137Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT25925004107,DL:20000 UL:20000,31303.0,,48,CS_PS_Capable,-93dBm,-2dB,-60dBm,-13.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1.0,21600.0,19700.0,110627350.0,371.0,,22-06-2026 13:33,No,Transition count within threshold,Low
84,1125900000000000.0,167510Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24117004636,DL:20000 UL:20000,45025.0,,62,CS_PS_Capable,-79dBm,5dB,-42dBm,-13.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3.0,18150.0,17200.0,112338188.0,36.0,,22-06-2026 13:33,No,Transition count within threshold,Low
85,1125900000000000.0,205916Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT24208003215,DL:20000 UL:20000,21901.0,,36,CS_PS_Capable,-105dBm,3dB,-84dBm,-13.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3.0,18150.0,17200.0,110670349.0,253.0,,22-06-2026 13:33,No,Transition count within threshold,Low
86,1125900000000000.0,793882Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT24208000862,DL:20000 UL:20000,41321.0,,64,CS_PS_Capable,-77dBm,17dB,-46dBm,-10.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1.0,21600.0,19700.0,112152341.0,4.0,,22-06-2026 13:33,No,Transition count within threshold,Low
87,1125900000000000.0,159585Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT23B28014241,DL:20000 UL:20000,21301.0,,49,CS_PS_Capable,-92dBm,2dB,-62dBm,-10.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1.0,21600.0,19700.0,112133910.0,494.0,,22-06-2026 13:33,No,Transition count within threshold,Low
88,1125900000000000.0,146241Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24127011338,DL:20000 UL:20000,11301.0,,53,CS_PS_Capable,-88dBm,10dB,-59dBm,-7.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3.0,18150.0,17200.0,112604940.0,75.0,,22-06-2026 13:33,No,Transition count within threshold,Low
89,1125900000000000.0,176469Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24127010107,DL:15000 UL:15000,41922.0,,38,CS_PS_Capable,-103dBm,4dB,-88dBm,-7.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1.0,21625.0,19725.0,103008789.0,414.0,,22-06-2026 13:33,No,Transition count within threshold,Low
90,1125900000000000.0,94 KB/s,0,EGO,LTE,Valid,AvailableService,Normal,11 MB/s,00E0FC-E5783-230b-4HJ7S25910000857,DL:20000 UL:20000,21305.0,,49,CS_PS_Capable,-92dBm,15dB,-65dBm,-7.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1.0,21600.0,19700.0,110491414.0,26.0,,22-06-2026 13:33,No,Transition count within threshold,Low
91,1125900000000000.0,82977Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT23B28012318,DL:20000 UL:20000,31908.0,,32,CS_PS_Capable,-109dBm,6dB,-82dBm,-7.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1.0,21600.0,19700.0,110600470.0,408.0,,22-06-2026 13:33,No,Transition count within threshold,Low
92,1125900000000000.0,930655Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT25925004562,DL:20000 UL:20000,41322.0,,43,CS_PS_Capable,-98dBm,2dB,-65dBm,-12.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3.0,18150.0,17200.0,110912011.0,23.0,,22-06-2026 13:33,No,Transition count within threshold,Low
93,1125900000000000.0,183101Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-E5586-326-2TS9K24C04003199,DL:20000 UL:20000,31300.0,,55,CS_PS_Capable,-85dBm,-7dB,-48dBm,-16.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3.0,18150.0,17200.0,110639629.0,194.0,,22-06-2026 13:33,No,Transition count within threshold,Low
94,1125900000000000.0,235298Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT23B28010450,DL:20000 UL:20000,31908.0,,51,CS_PS_Capable,-90dBm,-2dB,-71dBm,-11.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3.0,18150.0,17200.0,110578956.0,80.0,,22-06-2026 13:33,No,Transition count within threshold,Low
95,1125900000000000.0,1569580Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24113008696,DL:20000 UL:20000,41903.0,,66,CS_PS_Capable,-75dBm,29dB,-45dBm,-8.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,41.0,26050.0,26050.0,110426923.0,50.0,,22-06-2026 13:33,No,Transition count within threshold,Low
96,1125900000000000.0,74797Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT24202005141,DL:20000 UL:20000,31908.0,,84,CS_PS_Capable,-56dBm,8dB,-38dBm,-9.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3.0,18150.0,17200.0,110486285.0,323.0,,22-06-2026 13:33,No,Transition count within threshold,Low
97,1125900000000000.0,155529Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-E5586-326-2TS9K24C04010458,DL:20000 UL:20000,21301.0,,60,CS_PS_Capable,-81dBm,18dB,-62dBm,-9.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3.0,18150.0,17200.0,110508043.0,180.0,,22-06-2026 13:33,No,Transition count within threshold,Low
98,1125900000000000.0,372639Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24127007540,DL:20000 UL:20000,41901.0,,45,CS_PS_Capable,-94dBm,9dB,-64dBm,-9.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,41.0,26250.0,26250.0,110473268.0,50.0,,22-06-2026 13:33,No,Transition count within threshold,Low
99,1125900000000000.0,108140Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S25213007766,DL:20000 UL:20000,45023.0,,54,CS_PS_Capable,-87dBm,15dB,-59dBm,-6.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,41.0,26600.0,26600.0,110166836.0,28.0,,22-06-2026 13:33,No,Transition count within threshold,Low
